100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000
2.58E+00,6.92E-01,1.07E+00,9.16E-01,1.24E+00,3.27E-01,2.02E-01,6.99E-02,3.73E-02,9.62E-03,1.36E-02,1.27E-02,2.40E-03,3.36E-04,2.02E-04,1.57E-04,9.17E-05,1.01E-04,9.81E-05,5.97E-05
2.40E+00,6.94E-01,1.17E+00,5.70E-01,2.22E-01,1.92E-01,2.92E-02,9.81E-04,1.39E-04,6.81E-05,5.38E-05,4.17E-05,2.80E-05,2.81E-05,2.33E-05,1.94E-05,2.25E-05,2.76E-05,2.30E-05,3.26E-05
2.35E+00,9.33E-01,9.15E-01,4.35E-01,1.91E+00,7.15E-01,3.19E-01,2.15E-02,2.69E-03,6.36E-04,2.19E-04,1.83E-04,9.62E-05,1.17E-04,1.02E-04,1.19E-04,1.27E-04,3.07E-04,3.19E-04,5.92E-04
2.53E+00,9.72E-01,7.67E-01,1.37E+00,5.95E-01,1.07E-01,5.81E-03,2.45E-04,4.10E-05,1.15E-04,4.09E-05,2.34E-05,2.36E-05,1.29E-05,2.66E-05,1.39E-05,2.20E-05,1.67E-05,2.11E-05,1.97E-05
2.55E+00,9.93E-01,6.55E+00,7.60E-01,4.48E-01,3.08E-01,1.62E-01,4.50E-03,1.37E-03,5.56E-04,1.19E-04,1.08E-04,9.57E-05,7.41E-05,8.77E-05,8.74E-05,5.33E-05,2.14E-04,8.20E-05,1.13E-04
2.38E+00,9.04E-01,4.09E+00,1.52E+00,6.62E-01,3.44E-01,3.87E-01,3.07E-02,6.08E-03,9.24E-03,6.74E-04,1.51E-04,7.85E-05,6.50E-05,4.92E-05,4.35E-05,4.94E-05,1.87E-05,1.75E-04,5.49E-05
2.53E+00,6.74E-01,7.22E-01,3.45E+00,1.10E+00,4.32E-01,2.19E-01,1.94E-02,4.20E-03,9.87E-03,6.76E-04,4.31E-05,1.40E-05,1.34E-05,9.23E-06,7.22E-06,7.46E-06,6.39E-06,6.53E-06,1.20E-05
2.49E+00,9.43E-01,9.98E-01,4.95E+00,7.59E-01,7.78E-01,1.30E+00,1.25E+00,1.00E-01,1.61E-02,6.01E-03,2.52E-03,6.86E-04,3.11E-04,1.12E-04,1.05E-04,9.18E-05,6.88E-05,7.05E-05,7.27E-05
2.58E+00,1.27E+00,2.74E+00,2.94E+00,1.55E+00,5.69E-01,2.96E-01,2.89E-01,1.50E-02,6.66E-04,1.55E-04,1.11E-04,7.58E-05,6.23E-05,3.63E-05,3.63E-05,2.90E-05,3.06E-05,2.60E-05,3.36E-05
2.57E+00,9.47E-01,4.81E-01,5.18E-01,3.14E-01,3.48E-01,4.35E-01,8.62E-03,1.68E-04,4.85E-05,2.04E-05,1.90E-05,9.79E-06,9.78E-06,3.44E-06,7.07E-06,8.08E-06,7.03E-06,7.99E-06,7.18E-06
2.58E+00,5.00E-01,1.65E+00,4.94E-01,4.84E-01,3.63E-01,1.37E-01,3.00E-02,2.17E-03,3.65E-04,2.16E-04,1.14E-04,5.57E-05,1.05E-04,5.04E-05,4.58E-05,3.97E-05,4.68E-05,4.68E-05,4.53E-05
2.27E+00,1.30E+00,5.11E+00,3.15E+00,2.11E+00,3.84E-01,6.20E-02,1.81E-02,3.25E-03,1.87E-04,2.21E-04,2.03E-04,1.89E-04,1.37E-04,1.14E-04,7.73E-05,4.83E-05,4.40E-05,1.18E-04,1.08E-04
2.37E+00,1.14E+00,3.84E+00,1.77E+00,1.50E+00,3.48E-01,3.35E-01,2.11E-02,3.33E-03,5.89E-04,1.51E-04,1.52E-04,1.17E-04,9.58E-05,7.60E-05,9.21E-05,8.60E-05,6.46E-05,8.95E-05,2.32E-04
2.45E+00,5.49E-01,3.93E+00,9.01E-01,1.50E+00,6.19E-01,4.49E-02,1.47E-03,1.53E-04,1.75E-04,8.17E-05,4.14E-05,4.80E-05,5.89E-05,4.47E-05,3.92E-05,2.58E-05,2.16E-05,2.26E-05,1.91E-05
2.53E+00,7.60E-01,3.65E+00,6.96E-01,4.84E-01,6.30E-01,3.48E-01,1.89E-01,3.85E-02,6.14E-03,2.35E-03,3.31E-04,1.89E-04,1.68E-04,2.86E-04,2.16E-04,1.52E-04,1.21E-04,6.70E-05,7.28E-05
2.53E+00,8.49E-01,4.12E-01,2.04E+00,1.45E+00,2.34E-01,1.69E-01,4.31E-03,4.14E-04,6.91E-05,8.96E-05,1.52E-05,1.43E-05,1.04E-05,8.76E-06,1.03E-05,9.22E-06,1.00E-05,1.41E-05,9.21E-06
2.55E+00,7.39E-01,1.43E+00,1.12E+00,2.01E+00,1.62E-01,5.78E-03,1.51E-03,4.08E-04,2.44E-04,1.92E-04,1.30E-04,1.24E-04,7.18E-05,5.19E-05,4.41E-05,3.70E-05,2.90E-05,4.16E-05,2.45E-05
2.56E+00,3.72E-01,1.99E+00,1.24E+00,4.99E-01,1.96E-01,3.14E-02,1.27E-03,1.96E-04,1.38E-04,1.12E-04,1.25E-04,6.59E-05,8.72E-05,1.00E-04,1.02E-04,5.38E-05,4.37E-05,5.60E-04,3.84E-04
2.58E+00,7.48E-01,1.08E+00,2.74E+00,1.31E+01,1.74E+00,4.77E+00,2.64E-01,3.13E-01,4.85E-02,2.46E-03,3.14E-03,3.84E-04,1.60E-04,3.90E-04,1.47E-04,1.35E-04,8.79E-05,2.31E-04,1.26E-04
2.31E+00,8.09E-01,8.90E+00,4.42E-01,5.69E-01,8.42E-01,5.04E-01,5.27E-02,5.73E-03,5.94E-03,1.84E-04,8.52E-05,4.38E-05,2.92E-05,5.90E-05,2.85E-05,1.20E-05,1.39E-05,1.87E-05,1.55E-05